Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,4.109375,4.468750,4.023438,4.460938,1.512057,38801600
1985-02-01,4.437500,4.828125,4.406250,4.828125,1.636516,54888000
1985-03-01,4.843750,4.968750,4.757813,4.859375,1.665233,68363200
1985-04-01,4.875000,5.015625,4.718750,4.781250,1.638461,38932800
1985-05-01,4.781250,5.375000,4.687500,5.343750,1.831222,32776000
1985-06-01,5.359375,5.648438,5.234375,5.406250,1.871776,37987200
1985-07-01,5.414063,5.609375,5.242188,5.304688,1.836612,34582400
1985-08-01,5.296875,5.500000,5.062500,5.414063,1.874480,71288000
1985-09-01,5.398438,5.500000,5.187500,5.406250,1.890246,18574400
1985-10-01,5.390625,5.898438,5.390625,5.859375,2.048676,40955200
1985-11-01,5.867188,6.578125,5.851563,6.484375,2.267202,38297600
1985-12-01,6.476563,6.992188,6.281250,6.968750,2.457307,46110400
1986-01-01,6.960938,7.093750,6.281250,6.812500,2.402210,47269600
1986-02-01,6.812500,7.531250,6.625000,7.500000,2.644636,35830400
1986-03-01,7.500000,9.531250,6.953125,9.312500,3.311056,87884000
1986-04-01,9.312500,9.375000,8.343750,8.421875,2.994395,66958400
1986-05-01,8.406250,9.718750,8.296875,9.468750,3.366611,49041600
1986-06-01,9.406250,10.203125,9.171875,10.109375,3.617293,56815200
1986-07-01,10.109375,10.437500,9.062500,9.406250,3.365702,56270400
1986-08-01,9.375000,10.296875,9.109375,9.734375,3.483112,36842400
1986-09-01,9.734375,9.734375,8.000000,8.171875,2.941748,59355200
1986-10-01,8.203125,9.375000,8.140625,9.343750,3.363604,40868800
1986-11-01,9.250000,9.531250,8.875000,9.390625,3.380480,37919200
1986-12-01,9.265625,9.812500,9.171875,9.281250,3.361705,45468800
1987-01-01,9.250000,11.093750,9.250000,10.812500,3.916332,79860800
1987-02-01,10.812500,11.937500,10.328125,11.796875,4.272877,57639200
1987-03-01,11.765625,12.625000,11.171875,11.437500,4.166796,84284000
1987-04-01,11.312500,12.375000,10.703125,11.375000,4.144027,76188000
1987-05-01,11.375000,12.171875,10.328125,11.000000,4.007411,60632000
1987-06-01,11.156250,11.984375,11.078125,11.734375,4.298536,45666400
1987-07-01,11.734375,12.000000,11.140625,12.000000,4.395840,50394400
1987-08-01,11.687500,12.859375,11.609375,12.281250,4.498866,59241600
1987-09-01,12.281250,13.468750,11.296875,12.031250,4.429860,83472800
1987-10-01,12.093750,12.640625,7.218750,9.625000,3.543889,105944800
1987-11-01,9.609375,9.843750,8.140625,8.375000,3.083644,47897600
1987-12-01,8.531250,10.000000,7.781250,9.750000,3.613301,55590400
1988-01-01,9.781250,10.281250,9.328125,9.562500,3.543813,52026400
1988-02-01,9.562500,10.015625,8.843750,9.828125,3.642251,37284000
1988-03-01,9.890625,10.937500,9.531250,10.500000,3.922693,75860800
1988-04-01,10.406250,10.453125,9.562500,10.000000,3.735898,63718400
1988-05-01,9.968750,10.046875,8.984375,9.984375,3.730060,42820800
1988-06-01,10.046875,10.625000,9.968750,10.468750,3.939700,47012000
1988-07-01,10.562500,10.687500,10.046875,10.468750,3.939700,35246400
1988-08-01,10.468750,10.734375,10.062500,10.421875,3.922061,34143200
1988-09-01,10.390625,11.234375,10.203125,11.000000,4.168169,36945600
1988-10-01,11.000000,11.468750,10.859375,11.203125,4.245139,38859200
1988-11-01,11.140625,11.312500,10.562500,11.015625,4.174090,28536000
1988-12-01,11.000000,11.468750,10.671875,10.687500,4.076324,27752800
1989-01-01,10.687500,11.734375,10.593750,11.734375,4.475615,43595200
1989-02-01,11.687500,12.359375,11.453125,11.687500,4.457736,43544800
1989-03-01,11.812500,12.937500,11.796875,12.859375,4.939083,51946400
1989-04-01,12.781250,13.718750,12.609375,13.500000,5.185132,39024000
1989-05-01,13.468750,14.625000,13.093750,13.843750,5.317163,38888000
1989-06-01,13.875000,14.406250,13.250000,13.625000,5.266224,32334000
1989-07-01,13.625000,16.062500,13.593750,15.937500,6.160030,45760400
1989-08-01,15.937500,15.968750,15.125000,15.437500,5.966773,35790000
1989-09-01,15.343750,15.718750,14.562500,15.593750,6.059965,31636400
1989-10-01,15.562500,16.562500,14.875000,15.531250,6.035676,51369200
1989-11-01,15.593750,17.093750,15.156250,16.750000,6.509301,43737600
1989-12-01,16.718750,17.125000,15.968750,17.125000,6.690677,33630000
1990-01-01,17.093750,17.312500,15.281250,15.781250,6.165675,45732800
1990-02-01,15.781250,16.218750,14.687500,15.093750,5.897071,31748000
1990-03-01,15.250000,16.406250,15.093750,16.156250,6.353129,42820800
1990-04-01,15.937500,17.281250,15.906250,16.531250,6.500589,42656400
1990-05-01,16.593750,19.656250,16.500000,19.562500,7.692568,57593200
1990-06-01,19.500000,20.968750,18.625000,20.781250,8.220847,45154400
1990-07-01,20.750000,22.593750,19.750000,20.812500,8.233204,74881600
1990-08-01,20.875000,21.156250,16.937500,18.781250,7.429663,101926800
1990-09-01,18.656250,19.000000,17.156250,17.875000,7.108341,34526400
1990-10-01,18.062500,20.000000,16.500000,16.843750,6.698248,68253600
1990-11-01,16.687500,18.500000,16.406250,18.437500,7.332040,65034800
1990-12-01,18.593750,19.406250,17.843750,18.312500,7.326179,41792000
1991-01-01,18.312500,20.000000,16.875000,19.500000,7.801252,63812800
1991-02-01,19.500000,20.718750,18.343750,19.750000,7.901270,89296000
1991-03-01,19.750000,21.281250,18.750000,19.562500,7.877996,66482400
1991-04-01,19.812500,21.000000,19.000000,19.187500,7.726988,60523600
1991-05-01,19.218750,20.437500,18.843750,19.875000,8.003845,55393600
1991-06-01,19.875000,19.937500,17.875000,17.968750,7.283868,51666400
1991-07-01,18.187500,19.187500,17.375000,19.093750,7.739902,65926400
1991-08-01,19.125000,21.125000,18.968750,21.000000,8.512623,59340000
1991-09-01,21.062500,21.187500,19.718750,19.937500,8.133244,41967200
1991-10-01,20.000000,20.375000,18.218750,19.218750,7.840037,66068000
1991-11-01,19.250000,19.437500,18.125000,18.375000,7.495841,41818000
1991-12-01,18.250000,21.218750,18.125000,20.875000,8.571074,49536800
1992-01-01,20.937500,21.937500,19.625000,19.718750,8.096324,56200000
1992-02-01,19.718750,19.812500,18.093750,18.718750,7.685729,51869600
1992-03-01,18.718750,18.750000,17.375000,17.750000,7.339894,50683200
1992-04-01,17.750000,18.656250,16.781250,17.187500,7.107293,54452800
1992-05-01,17.250000,17.406250,16.218750,16.500000,6.822997,46590800
1992-06-01,16.625000,16.750000,15.906250,16.281250,6.787855,43762800
1992-07-01,16.312500,17.843750,16.062500,17.656250,7.361107,41872000
1992-08-01,17.687500,18.000000,16.250000,16.281250,6.787855,28622400
1992-09-01,16.250000,17.187500,15.312500,15.656250,6.578242,33792000
1992-10-01,15.687500,15.718750,14.437500,15.406250,6.473200,56508800
1992-11-01,15.375000,16.187500,14.937500,15.625000,6.565110,38184800
1992-12-01,15.656250,16.375000,15.187500,15.187500,6.438638,37969200
1993-01-01,15.250000,15.500000,13.937500,14.125000,5.988197,51058800
1993-02-01,14.062500,14.156250,12.031250,12.875000,5.458266,67263200
1993-03-01,12.875000,13.437500,11.281250,12.187500,5.224160,86498400
1993-04-01,12.187500,12.468750,11.250000,12.375000,5.304531,66044000
1993-05-01,12.343750,13.031250,12.093750,12.750000,5.465274,39852800
1993-06-01,12.781250,12.875000,11.781250,12.312500,5.340348,47047200
1993-07-01,12.312500,12.312500,11.375000,11.656250,5.055710,42327600
1993-08-01,11.718750,12.125000,10.906250,12.000000,5.204804,46055200
1993-09-01,11.906250,12.656250,11.781250,12.500000,5.494557,43530000
1993-10-01,12.500000,14.156250,12.437500,13.531250,5.947859,47311200
1993-11-01,13.468750,15.187500,13.312500,14.343750,6.305004,52611600
1993-12-01,14.406250,15.031250,14.125000,14.843750,6.596231,39363600
1994-01-01,14.812500,15.468750,14.375000,14.968750,6.651779,48534000
1994-02-01,14.968750,15.062500,13.500000,13.843750,6.151853,29841200
1994-03-01,13.812500,14.125000,12.125000,12.468750,5.600561,58401200
1994-04-01,12.250000,12.718750,11.781250,12.312500,5.530376,41514000
1994-05-01,12.406250,14.562500,12.312500,14.312500,6.428715,47012800
1994-06-01,14.312500,14.718750,13.656250,14.218750,6.463391,35848400
1994-07-01,14.343750,14.406250,11.812500,12.156250,5.525845,105929600
1994-08-01,12.156250,14.500000,11.968750,14.250000,6.477594,103228800
1994-09-01,14.125000,14.812500,13.906250,14.468750,6.660103,53336000
1994-10-01,14.468750,15.625000,14.343750,15.500000,7.134799,65645200
1994-11-01,15.437500,16.312500,14.437500,15.656250,7.206720,64469200
1994-12-01,15.656250,16.562500,15.218750,16.406250,7.627343,43790800
1995-01-01,16.406250,16.468750,15.625000,16.468750,7.656399,41276000
1995-02-01,16.531250,16.781250,15.937500,16.750000,7.787157,44068400
1995-03-01,16.781250,19.218750,16.625000,18.281250,8.582151,62571200
1995-04-01,18.281250,19.843750,17.906250,18.687500,8.772865,54345200
1995-05-01,18.625000,19.218750,17.312500,18.656250,8.758198,56482800
1995-06-01,18.656250,19.781250,18.500000,19.625000,9.293329,41628000
1995-07-01,19.625000,19.843750,18.812500,19.562500,9.263730,39345600
1995-08-01,19.625000,20.468750,18.781250,20.468750,9.692881,44482400
1995-09-01,20.468750,23.593750,20.281250,22.468750,10.730174,94718000
1995-10-01,22.312500,24.656250,22.156250,24.156250,11.536058,68541600
1995-11-01,24.156250,25.718750,23.687500,24.875000,11.879304,36485200
1995-12-01,24.875000,28.500000,24.406250,28.125000,13.526560,59725000
1996-01-01,28.000000,29.187500,24.687500,28.625000,13.767025,47232800
1996-02-01,28.875000,32.562500,28.000000,30.312500,14.578621,58205200
1996-03-01,30.750000,33.812500,29.687500,32.500000,15.715238,69506000
1996-04-01,32.750000,33.625000,27.125000,29.562500,14.294819,73850400
1996-05-01,29.250000,32.312500,26.750000,32.125000,15.533905,62656000
1996-06-01,31.500000,33.625000,30.750000,32.500000,15.811445,51107800
1996-07-01,32.500000,33.062500,26.750000,28.000000,13.622160,56387400
1996-08-01,28.250000,29.937500,28.125000,28.625000,13.926225,41113600
1996-09-01,28.125000,32.562500,28.000000,32.250000,15.783449,51080400
1996-10-01,32.250000,36.062500,31.750000,35.250000,17.251667,58479800
1996-11-01,35.500000,39.125000,34.812500,38.250000,18.719896,47692800
1996-12-01,38.750000,40.187500,35.000000,36.500000,17.944996,57540000
1997-01-01,36.562500,44.250000,35.562500,43.562500,21.417229,59555600
1997-02-01,43.562500,47.500000,42.875000,43.687500,21.478689,48656400
1997-03-01,42.875000,45.875000,41.125000,41.125000,20.300623,59839200
1997-04-01,41.375000,44.000000,38.687500,43.937500,21.688965,58126000
1997-05-01,43.562500,47.000000,43.187500,46.500000,22.953890,43784000
1997-06-01,46.875000,55.750000,45.812500,54.656250,27.084921,65018200
1997-07-01,55.125000,58.812500,53.718750,56.500000,27.998592,58500200
1997-08-01,56.187500,58.625000,50.406250,52.312500,25.923470,60898800
1997-09-01,52.562500,61.750000,50.687500,60.500000,30.082018,57478200
1997-10-01,60.687500,70.312500,60.000000,67.062500,33.345032,67009600
1997-11-01,68.125000,68.937500,61.000000,63.000000,31.325058,52338200
1997-12-01,63.500000,70.437500,62.000000,69.625000,34.725819,46288700
1998-01-01,69.375000,72.375000,64.375000,67.625000,33.728310,45188600
1998-02-01,71.375000,71.687500,59.500000,65.812500,32.824322,110025100
1998-03-01,65.812500,67.437500,57.687500,59.625000,29.832232,78295500
1998-04-01,60.000000,73.750000,57.875000,69.562500,34.804260,94884500
