Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,1.409722,1.527778,1.388889,1.527778,0.594124,284400
1985-02-01,1.527778,1.569444,1.388889,1.388889,0.540112,147600
1985-03-01,0.000000,1.638889,1.333333,1.638889,0.637333,230400
1985-04-01,1.638889,1.687500,1.500000,1.611111,0.626531,151200
1985-05-01,1.611111,1.645833,1.569444,1.618056,0.637885,140400
1985-06-01,0.000000,1.666667,1.604167,1.666667,0.657049,82800
1985-07-01,1.666667,1.750000,1.666667,1.666667,0.657049,273600
1985-08-01,1.666667,1.666667,1.486111,1.611111,0.635148,183600
1985-09-01,0.000000,1.638889,1.500000,1.611111,0.635148,183600
1985-10-01,1.611111,1.916667,1.583333,1.916667,0.755607,136800
1985-11-01,0.000000,2.055556,1.868056,2.055556,0.810360,457200
1985-12-01,2.055556,2.236111,1.822917,2.236111,0.887276,482400
1986-01-01,0.000000,2.347222,2.111111,2.166667,0.859721,590400
1986-02-01,2.166667,2.333333,2.138889,2.208333,0.876254,108000
1986-03-01,0.000000,2.708333,2.236111,2.670139,1.059496,410400
1986-04-01,0.000000,2.916667,2.472222,2.833333,1.124250,396000
1986-05-01,0.000000,2.847222,2.638889,2.777778,1.113621,374400
1986-06-01,0.000000,2.875000,2.694444,2.875000,1.152597,1674000
1986-07-01,0.000000,3.125000,2.770833,2.847222,1.141461,864000
1986-08-01,0.000000,3.250000,2.854167,3.166667,1.269528,3304800
1986-09-01,0.000000,3.250000,2.868056,2.902778,1.163734,2700000
1986-10-01,0.000000,3.048611,2.916667,2.972222,1.191574,2304000
1986-11-01,0.000000,3.333333,3.000000,3.263889,1.308504,2667600
1986-12-01,0.000000,3.666667,3.260417,3.666667,1.477400,1008000
1987-01-01,0.000000,4.020833,3.569444,3.958333,1.594919,1414800
1987-02-01,0.000000,4.326389,3.944444,4.277778,1.723633,1879200
1987-03-01,0.000000,4.750000,4.368056,4.666667,1.880327,4881600
1987-04-01,0.000000,5.055556,4.604167,5.055556,2.037019,3088800
1987-05-01,0.000000,5.875000,5.031250,5.541667,2.252409,3657600
1987-06-01,0.000000,6.194444,5.555556,6.041667,2.455634,3970800
1987-07-01,0.000000,6.597222,5.902778,6.024306,2.448577,2851200
1987-08-01,0.000000,6.388889,5.677083,5.815972,2.363899,5109120
1987-09-01,0.000000,6.006944,5.625000,5.763889,2.342731,2368080
1987-10-01,0.000000,5.868056,3.940972,4.722222,1.919345,3809520
1987-11-01,0.000000,4.809028,4.166667,4.375000,1.778218,2196720
1987-12-01,0.000000,5.277778,4.305556,4.895833,1.999755,2805840
1988-01-01,4.913194,5.277778,4.722222,5.000000,2.042303,2013120
1988-02-01,5.034722,5.069444,4.722222,5.069444,2.070667,2383920
1988-03-01,5.000000,5.190972,4.704861,4.930556,2.013937,1437840
1988-04-01,4.930556,5.052083,4.722222,4.756944,1.943024,1002960
1988-05-01,4.791667,4.861111,4.444444,4.548611,1.878658,775440
1988-06-01,4.583333,4.791667,4.513889,4.513889,1.864317,539280
1988-07-01,4.479167,4.618056,4.340278,4.583333,1.892998,741600
1988-08-01,4.618056,4.618056,4.062500,4.131944,1.706568,668160
1988-09-01,4.097222,4.444444,4.062500,4.357639,1.799783,1387440
1988-10-01,4.340278,4.895833,4.236111,4.756944,1.964704,968400
1988-11-01,4.791667,4.826389,4.618056,4.652778,1.921680,1061280
1988-12-01,4.618056,4.652778,4.461806,4.583333,1.892998,657360
1989-01-01,4.618056,5.260417,4.583333,5.190972,2.160862,1065600
1989-02-01,5.190972,5.434028,5.121528,5.173611,2.165069,980640
1989-03-01,5.138889,5.329861,4.965278,4.982639,2.085151,1642320
1989-04-01,5.000000,5.225694,4.895833,5.138889,2.150538,1708560
1989-05-01,5.104167,5.295139,4.826389,4.843750,2.049242,847440
1989-06-01,4.809028,5.277778,4.739583,5.138889,2.174106,5344560
1989-07-01,5.190972,6.006944,5.190972,5.920139,2.504628,3382560
1989-08-01,5.902778,5.989583,5.607639,5.885417,2.489939,2178000
1989-09-01,5.850694,5.850694,5.486111,5.694444,2.409145,906480
1989-10-01,5.694444,5.850694,5.416667,5.763889,2.438524,7858080
1989-11-01,5.781250,6.180556,5.486111,6.145833,2.600112,8591040
1989-12-01,6.145833,6.631944,6.128472,6.631944,2.817857,5964480
1990-01-01,6.614583,6.701389,6.041667,6.302083,2.677701,7460640
1990-02-01,6.319444,6.354167,5.815972,5.868056,2.493287,5077440
1990-03-01,5.815972,6.180556,5.763889,6.180556,2.626065,6099840
1990-04-01,6.041667,6.145833,5.625000,5.642361,2.397391,9548640
1990-05-01,5.642361,6.493056,5.642361,6.458333,2.776730,7145280
1990-06-01,6.545139,6.961806,6.493056,6.944444,2.985731,4972320
1990-07-01,6.944444,7.309028,6.892361,7.309028,3.142483,3574080
1990-08-01,7.309028,7.326389,6.545139,6.666667,2.866302,3556080
1990-09-01,6.631944,6.701389,6.215278,6.458333,2.776730,1976400
1990-10-01,6.527778,7.309028,6.493056,7.152778,3.075303,2266560
1990-11-01,7.170139,7.291667,6.770833,7.222222,3.105160,3093840
1990-12-01,7.204861,7.604167,7.118056,7.395833,3.193887,1166400
1991-01-01,7.378472,7.482639,6.875000,7.395833,3.193887,3359520
1991-02-01,7.413194,8.020833,7.291667,7.534722,3.253867,6063840
1991-03-01,7.430556,7.812500,7.256944,7.413194,3.201384,2189520
1991-04-01,7.413194,7.812500,6.875000,7.083333,3.058934,3828960
1991-05-01,7.083333,7.361111,6.892361,7.309028,3.189531,4581360
1991-06-01,7.291667,7.378472,6.718750,6.718750,2.931944,2211120
1991-07-01,6.684028,7.187500,6.666667,7.100694,3.098619,5487840
1991-08-01,7.065972,7.291667,6.562500,7.013889,3.060738,2263680
1991-09-01,7.135417,7.604167,7.135417,7.604167,3.318325,1856160
1991-10-01,7.656250,7.777778,7.326389,7.690972,3.356204,1847520
1991-11-01,7.690972,8.437500,7.690972,8.142361,3.553182,1637280
1991-12-01,8.107639,9.305556,8.090278,9.270833,4.061904,1246320
1992-01-01,9.340278,9.340278,8.854167,9.166667,4.016265,871920
1992-02-01,9.201389,9.444444,9.010417,9.166667,4.016265,777600
1992-03-01,9.131944,9.131944,8.593750,8.593750,3.765249,2033280
1992-04-01,8.628472,9.097222,8.559028,9.027778,3.955413,1353600
1992-05-01,9.062500,9.618056,8.958333,9.253472,4.094889,1228320
1992-06-01,9.218750,9.947917,9.201389,9.895833,4.379148,1203840
1992-07-01,9.861111,10.260417,9.670139,9.965278,4.409878,1756080
1992-08-01,10.017361,10.260417,9.895833,10.225694,4.525119,2962080
1992-09-01,10.190972,10.451389,9.843750,10.329861,4.571215,1024560
1992-10-01,10.295139,10.295139,9.531250,9.531250,4.217810,334080
1992-11-01,9.444444,9.513889,8.680556,8.940972,3.956600,457200
1992-12-01,9.010417,9.479167,9.010417,9.375000,4.161597,433440
1993-01-01,9.340278,9.583333,8.958333,9.184028,4.076825,670320
1993-02-01,9.236111,9.687500,9.027778,9.513889,4.223249,845280
1993-03-01,9.791667,10.052083,9.722222,10.052083,4.462156,242640
1993-04-01,10.034722,10.173611,9.375000,9.375000,4.161597,283680
1993-05-01,9.444444,9.618056,8.576389,8.854167,3.963865,325440
1993-06-01,8.802083,8.993056,8.506944,8.593750,3.847283,462240
1993-07-01,8.611111,8.628472,7.881944,8.003472,3.583024,557280
1993-08-01,8.055556,9.027778,7.777778,8.993056,4.026043,439200
1993-09-01,9.045139,9.114583,8.784722,8.784722,3.932774,423360
1993-10-01,8.715278,9.583333,8.715278,9.565972,4.282528,523440
1993-11-01,9.565972,9.565972,8.923611,9.444444,4.228124,283680
1993-12-01,9.548611,10.138889,9.513889,9.826389,4.399114,322560
1994-01-01,9.791667,10.104167,9.548611,10.104167,4.537513,319680
1994-02-01,10.138889,10.312500,9.166667,9.600694,4.311414,1140480
1994-03-01,9.444444,9.444444,8.454861,8.506944,3.820243,922320
1994-04-01,8.402778,9.097222,8.298611,9.097222,4.085321,5322960
1994-05-01,9.027778,9.201389,8.125000,8.541667,3.878417,392400
1994-06-01,8.472222,8.680556,8.107639,8.263889,3.752288,420480
1994-07-01,8.263889,8.802083,8.263889,8.541667,3.878417,150480
1994-08-01,8.628472,9.947917,8.628472,9.722222,4.414457,303840
1994-09-01,9.739583,9.965278,9.444444,9.809028,4.453873,372960
1994-10-01,9.756944,10.347222,9.618056,10.225694,4.643060,402480
1994-11-01,10.277778,10.312500,9.600694,9.739583,4.422340,950400
1994-12-01,9.722222,10.138889,9.340278,10.121528,4.595763,5901120
1995-01-01,10.121528,10.399306,9.861111,10.277778,4.685663,127440
1995-02-01,10.277778,10.434028,10.000000,10.329861,4.709408,170640
1995-03-01,10.329861,11.111111,10.329861,11.111111,5.065581,422640
1995-04-01,11.215278,11.319444,10.798611,10.920139,4.978517,3534480
1995-05-01,10.920139,11.180556,10.277778,10.763889,4.961192,381600
1995-06-01,10.746528,11.423611,10.694444,11.215278,5.169243,319680
1995-07-01,11.215278,11.458333,11.180556,11.336806,5.225258,336960
1995-08-01,11.284722,11.475694,10.416667,10.416667,4.801154,464400
1995-09-01,10.451389,11.111111,10.434028,11.111111,5.121229,115920
1995-10-01,11.059028,11.215278,10.694444,10.694444,4.929183,246240
1995-11-01,10.659722,10.902778,10.399306,10.833333,4.993200,2753280
1995-12-01,11.041667,11.840278,11.006944,11.736111,5.430787,1439280
1996-01-01,11.770833,12.083333,11.388889,11.527778,5.334382,681120
1996-02-01,11.527778,11.597222,10.416667,10.434028,4.828259,2874240
1996-03-01,10.468750,10.868056,10.277778,10.520833,4.868429,1676160
1996-04-01,10.503472,10.555556,9.982639,10.381944,4.804158,1011600
1996-05-01,10.225694,10.590278,10.138889,10.486111,4.914417,3617280
1996-06-01,10.503472,11.284722,10.381944,11.215278,5.256147,573840
1996-07-01,11.232639,11.232639,10.590278,10.781250,5.052735,331200
1996-08-01,10.833333,11.388889,10.815972,11.336806,5.313104,411840
1996-09-01,11.336806,12.361111,11.336806,12.083333,5.662971,1876320
1996-10-01,12.118056,12.222222,11.631944,11.909722,5.581608,1562400
1996-11-01,11.909722,13.315972,11.701389,13.315972,6.240661,8396640
1996-12-01,13.229167,13.541667,12.465278,13.541667,6.378251,932400
1997-01-01,13.368056,13.402778,12.413194,12.500000,5.887616,4912560
1997-02-01,12.517361,15.121528,12.222222,14.409722,6.787115,930960
1997-03-01,14.357639,14.756944,13.871528,14.548611,6.852534,1735920
1997-04-01,14.548611,15.034722,14.027778,14.895833,7.016078,6546240
1997-05-01,14.913194,15.729167,14.878472,15.190972,7.224359,1284480
1997-06-01,15.034722,16.180555,14.687500,16.128471,7.670205,2316240
